Unnamed: 0,digit1,digit2,digit3,digit4,digit5,strings
3514,A,B,A,T,E,ABATE
3739,A,B,B,T,E,ABBTE
3964,A,B,C,T,E,ABCTE
4189,A,B,D,T,E,ABDTE
4284,A,B,E,A,T,ABEAT
4299,A,B,E,B,T,ABEBT
4314,A,B,E,C,T,ABECT
4329,A,B,E,D,T,ABEDT
4359,A,B,E,F,T,ABEFT
4374,A,B,E,J,T,ABEJT
4389,A,B,E,K,T,ABEKT
4404,A,B,E,Q,T,ABEQT
4410,A,B,E,T,A,ABETA
4411,A,B,E,T,B,ABETB
4412,A,B,E,T,C,ABETC
4413,A,B,E,T,D,ABETD
4414,A,B,E,T,E,ABETE
4415,A,B,E,T,F,ABETF
4416,A,B,E,T,J,ABETJ
4417,A,B,E,T,K,ABETK
4418,A,B,E,T,Q,ABETQ
4419,A,B,E,T,T,ABETT
4420,A,B,E,T,V,ABETV
4421,A,B,E,T,W,ABETW
4422,A,B,E,T,X,ABETX
4423,A,B,E,T,Y,ABETY
4424,A,B,E,T,Z,ABETZ
4434,A,B,E,V,T,ABEVT
4449,A,B,E,W,T,ABEWT
4464,A,B,E,X,T,ABEXT
4479,A,B,E,Y,T,ABEYT
4494,A,B,E,Z,T,ABEZT
4639,A,B,F,T,E,ABFTE
4864,A,B,J,T,E,ABJTE
5089,A,B,K,T,E,ABKTE
5314,A,B,Q,T,E,ABQTE
5404,A,B,T,A,E,ABTAE
5419,A,B,T,B,E,ABTBE
5434,A,B,T,C,E,ABTCE
5449,A,B,T,D,E,ABTDE
5479,A,B,T,F,E,ABTFE
5494,A,B,T,J,E,ABTJE
5509,A,B,T,K,E,ABTKE
5524,A,B,T,Q,E,ABTQE
5539,A,B,T,T,E,ABTTE
5554,A,B,T,V,E,ABTVE
5569,A,B,T,W,E,ABTWE
5584,A,B,T,X,E,ABTXE
5599,A,B,T,Y,E,ABTYE
5614,A,B,T,Z,E,ABTZE
5764,A,B,V,T,E,ABVTE
5989,A,B,W,T,E,ABWTE
6214,A,B,X,T,E,ABXTE
6439,A,B,Y,T,E,ABYTE
6664,A,B,Z,T,E,ABZTE
6889,A,C,A,T,E,ACATE
7114,A,C,B,T,E,ACBTE
7339,A,C,C,T,E,ACCTE
7564,A,C,D,T,E,ACDTE
7659,A,C,E,A,T,ACEAT
7674,A,C,E,B,T,ACEBT
7689,A,C,E,C,T,ACECT
7704,A,C,E,D,T,ACEDT
7734,A,C,E,F,T,ACEFT
7749,A,C,E,J,T,ACEJT
7764,A,C,E,K,T,ACEKT
7779,A,C,E,Q,T,ACEQT
7785,A,C,E,T,A,ACETA
7786,A,C,E,T,B,ACETB
